,account,state,postedOn,payee,usage,category,tags,notes,amount,action,security,description,quantity,price,commission
,"American Express Gold","CLEARED","12/23/2023","Amazon","","Shopping","","","-$19.15","","","","","",""
,"American Express Gold","CLEARED","12/23/2023","Amazon","","Shopping","","","-$19.00","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Dark Horse Tavern","","Dining & Drinks:Restaurants","","","-$18.81","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon","","Shopping","","","-$11.04","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Grubhub*Atwoods","","Dining & Drinks:Restaurants","","","-$16.32","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon . Com Amzn . Com / Bill Wa","","Shopping","","","-$16.32","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Amazon Marketplace Namzn.com/bill Wa","","Shopping","","","-$18.28","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Ladybird Grove Mess Hall","","Dining & Drinks:Bars","","","-$14.43","","","","","",""
,"American Express Gold","CLEARED","12/22/2023","Uber","","Mint:Ride Share","","","-$10.91","","","","","",""
,"American Express Gold","CLEARED","12/19/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$19.35","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Uber Trip Help . Uber . Com Ca","","Mint:Ride Share","","","-$9.95","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Neighbors Atlanta Ga","","Dining & Drinks:Bars","","","-$21.69","","","","","",""
,"American Express Gold","CLEARED","12/17/2023","Neighbors Atlanta Ga","","Dining & Drinks:Bars","","","-$7.53","","","","","",""
,"American Express Gold","CLEARED","12/15/2023","Aplpay Perc Atlanta Atlanta Ga","","Dining & Drinks:Coffee Shops","","","-$9.71","","","","","",""
,"American Express Gold","CLEARED","12/14/2023","Amazon . Com Amzn . Com / Bill Wa","","Personal Care:Hair","","","-$26.90","","","","","",""
,"American Express Gold","CLEARED","12/14/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$23.42","","","","","",""
,"American Express Gold","CLEARED","12/13/2023","Amex Send : Add Money","","Parents","","","-$31.00","","","","","",""
,"American Express Gold","CLEARED","12/13/2023","Amex Send Offer Credit","","Mint:Statement Credits","","","$10.00","","","","","",""
,"American Express Gold","CLEARED","12/9/2023","Aplpay Publix # 1061 Atlanta Ga","","Groceries","","","-$95.86","","","","","",""
,"American Express Gold","CLEARED","12/7/2023","Uber Eats Help . Uber . Com Ca","","Dining & Drinks:Restaurants","","","-$4.16","","","","","",""
,"American Express Gold","CLEARED","12/4/2023","Aplpay Bolt Operatiotallinn Es","","Travel","","","-$16.80","","","","","",""
,"American Express Gold","CLEARED","12/2/2023","Renfe Cercanias Tna Malaga Es","","Travel","","","-$1.97","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Groceries","","","-$21.39","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Aplpay Zettle *syra Barcelona Es","","Travel","","","-$3.08","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Pets:Pet Food & Supplies","","","-$36.80","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Marta Tvm Xx0018atlanta Ga","","Travel","","","-$5.00","","","","","",""
,"American Express Gold","CLEARED","11/30/2023","Amazon . Com Amzn . Com / Bill Wa","","Gifts","","","-$26.82","","","","","",""
