Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-24,Nikhil Katti Charged Tyler Hughes,Nikhil Katti Charged Tyler Hughes,24.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Raquel Strebig,Nikhil Katti Charged Raquel Strebig,21.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Anthony Lopez,Nikhil Katti Charged Anthony Lopez,21.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Jonathan Stephens,Nikhil Katti Charged Jonathan Stephens,21.29,credit,Income,Venmo,,
2023-12-24,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,50.9,debit,Transfer,Venmo,,
2023-12-23,PEACOCK TV,PEACOCK TV,5.99,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-23,AMAZONCOM,AMAZONCOM,19.15,debit,Shopping,American Express Gold,,
2023-12-23,AMAZON MARKEPLACE NA PA,AMAZON MARKEPLACE NA PA,19.0,debit,Shopping,American Express Gold,,
2023-12-23,EVENTBRITE,EVENTBRITE,101.43,debit,Business Services,Amex Blue Cash Everyday,,
2023-12-23,Nikhil Katti Paid Brendon Johnson,Nikhil Katti Paid Brendon Johnson,10.0,debit,Food & Dining,Venmo,,
2023-12-23,EVENTBRITE,EVENTBRITE,26.3,debit,Business Services,Amex Blue Cash Everyday,,
2023-12-23,PEACOCK TV,PEACOCK TV,1.0,credit,Income,Amex Blue Cash Everyday,,
2023-12-23,PEACOCK TV,PEACOCK TV,1.0,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-22,VANGUARD BUY,VANGUARD BUY,541.66,debit,Financial,SoFi Savings,,
2023-12-22,UBER,UBER,10.91,debit,Ride Share,American Express Gold,,
2023-12-22,DARK HORSE TAVERN,DARK HORSE TAVERN,18.81,debit,Restaurants,American Express Gold,,
2023-12-22,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,16.32,debit,Shopping,American Express Gold,,
2023-12-22,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,18.28,debit,Shopping,American Express Gold,,
2023-12-22,GRUBHUB*ATWOODSPIZZANEW YORK NY,GRUBHUB*ATWOODSPIZZANEW YORK NY,16.32,debit,Food Delivery,American Express Gold,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-22,AMAZONCOM,AMAZONCOM,11.04,debit,Shopping,American Express Gold,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-22,BR FACTORY.COM 2624 GROVEPORT OH,BR FACTORY.COM 2624 GROVEPORT OH,149.85,debit,Clothing,Amex Blue Cash Everyday,,
2023-12-22,Dividend Reinvestment,Dividend Reinvestment,5.16,credit,Investments,General Investing,,
2023-12-22,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-12-22,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Financial,Vanguard Roth IRA,,
2023-12-22,Deposit,Deposit,0.08,credit,Transfer,Bitcoin,,
2023-12-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-12-21,OLD NAVY ON-LINE 084GROVEPORT OH,OLD NAVY ON-LINE 084GROVEPORT OH,44.65,debit,Clothing,Amex Blue Cash Everyday,,
2023-12-21,SEATGEEK TICKETS NEW YORK NY,SEATGEEK TICKETS NEW YORK NY,246.17,debit,Entertainment,Amex Blue Cash Everyday,,
2023-12-20,TRANSFER OUT BTC,TRANSFER OUT BTC,3472.33,debit,Investments,SoFi Recurring Invest,,
2023-12-19,External Transfer Withdrawal 298cfc71158c0b5,External Transfer Withdrawal 298cfc71158c0b5,2500.0,debit,Transfer,Checking - 7290,,
2023-12-19,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-12-19,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,19.35,debit,Groceries,American Express Gold,,
2023-12-18,NATL FIN SVC LLC,NATL FIN SVC LLC,0.12,credit,Transfer,SoFi Savings,,
2023-12-18,NATL FIN SVC LLC,NATL FIN SVC LLC,0.32,debit,Transfer,SoFi Savings,,
