Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/18/2023,PUBLIX,PUBLIX,19.35,debit,Groceries,American Express Gold,,
12/16/2023,LYFT HQ,LYFT HQ,8.94,debit,Ride Share,American Express Gold,,
12/16/2023,LYFT HQ,LYFT HQ,8.94,credit,Ride Share,American Express Gold,,
12/16/2023,LYFT HQ,LYFT HQ,13.65,debit,Ride Share,American Express Gold,,
12/15/2023,PERC ATLANTA,PERC ATLANTA,8.71,debit,Coffee Shops,American Express Gold,,
12/13/2023,GIFTCARDGRANNY.COM,GIFTCARDGRANNY.COM,17.95,debit,Gift,Amex Blue Cash Everyday,,
12/13/2023,PAYPAL,PAYPAL,133.49,credit,Income,SoFi Savings,,
12/12/2023,AMEX SEND ACCOUNT,AMEX SEND ACCOUNT,31.0,debit,Transfer,American Express Gold,,
12/11/2023,Pending Dividend Reinvestment,Pending Dividend Reinvestment,5.27,credit,Investments,General Investing,,
12/11/2023,Fsi*gapower Local 866-702-1864 Ga,Fsi*gapower Local 866-702-1864 Ga,79.16,debit,Electricity,Checking - 7290,,
12/03/2023,BOLT,BOLT,16.73,debit,Coffee Shops,American Express Gold,,
12/01/2023,THE CORNERSTONE,THE CORNERSTONE,434.97,debit,HOA,SoFi Savings,,
12/01/2023,STOCKTON PMT,STOCKTON PMT,1707.67,debit,Mortgage & Rent,SoFi Savings,,
11/27/2023,PUBLIX,PUBLIX,32.34,debit,Groceries,American Express Gold,,
11/25/2023,THE WICKED WOLF,THE WICKED WOLF,15.0,debit,Alcohol & Bars,American Express Gold,,
11/25/2023,ABURI SUSHI,ABURI SUSHI,15.0,credit,Restaurants,American Express Gold,,
11/18/2023,MINT MOBILE,MINT MOBILE,76.37,debit,Mobile Phone,American Express Gold,,
11/10/2023,PAYPAL,PAYPAL,813.12,credit,Income,SoFi Savings,,
11/05/2023,Mobile Check Deposit,Mobile Check Deposit,117.5,credit,Transfer,SoFi Savings,,
11/01/2023,THE CORNERSTONE,THE CORNERSTONE,434.97,debit,HOA,SoFi Savings,,
11/01/2023,STOCKTON PMT,STOCKTON PMT,1707.67,debit,Mortgage & Rent,SoFi Savings,,
10/21/2023,LA FITNESS MONTHLY MEMBERSHIP,LA FITNESS MONTHLY MEMBERSHIP,29.99,debit,Gym,Amazon Business Prime,,
10/20/2023,PUBLIX,PUBLIX,15.21,debit,Groceries,American Express Gold,,
10/08/2023,RREAL TACOS,RREAL TACOS,16.65,debit,Restaurants,American Express Gold,,
10/08/2023,GOOGLE SERVICES,GOOGLE SERVICES,1.0,debit,Advertising,American Express Gold,,
10/08/2023,GOOGLE SERVICES,GOOGLE SERVICES,1.0,credit,Income,American Express Gold,,
10/08/2023,QUIKTRIP,QUIKTRIP,6.27,debit,Gas & Fuel,Amex Blue Cash Everyday,,
10/05/2023,VENMO,VENMO,103.5,credit,Income,SoFi Savings,,
10/05/2023,LEMONADE I* LEMONADE I,LEMONADE I* LEMONADE I,76.74,credit,Income,Chase Freedom Unlimited,,
10/02/2023,THE CORNERSTONE,THE CORNERSTONE,439.91,debit,HOA,SoFi Savings,,
10/02/2023,STOCKTON PMT,STOCKTON PMT,1707.67,debit,Mortgage & Rent,SoFi Savings,,
9/28/2023,Pending Advisory Fee,Pending Advisory Fee,2.54,debit,Trade Commissions,General Investing,,
9/26/2023,BLUEAPRON.COM,BLUEAPRON.COM,47.12,debit,Groceries,American Express Gold,,
9/26/2023,DTE BOTANICALS,DTE BOTANICALS,160.89,debit,Kratom,Chase Freedom Unlimited,,
9/25/2023,Pending Dividend Reinvestment,Pending Dividend Reinvestment,36.54,credit,Investments,General Investing,,
9/18/2023,PUBLIX,PUBLIX,61.92,debit,Groceries,American Express Gold,,
9/05/2023,Nova Tea,Nova Tea,132.0,debit,Coffee Shops,Chase Freedom Unlimited,,
9/04/2023,Cash App*ryan Stickney Visa Transfer Ca,Cash App*ryan Stickney Visa Transfer Ca,129.36,debit,Transfer,Checking - 7290,,
9/04/2023,Nova Tea,Nova Tea,132.0,debit,Coffee Shops,Chase Freedom Unlimited,,
9/04/2023,Cash App*ryan Stickney Visa Transfer Ca 1,Cash App*ryan Stickney Visa Transfer Ca 1,129.36,debit,Transfer,Checking - 7290,,
9/04/2023,PUBLIX,PUBLIX,42.81,debit,Groceries,American Express Gold,,
9/02/2023,MACK WELDON,MACK WELDON,23.95,debit,Clothing,Amex Blue Cash Everyday,,
9/02/2023,GREEN CHEF,GREEN CHEF,33.93,debit,Groceries,Amex Blue Cash Everyday,,
9/01/2023,AMAZONCOM,AMAZONCOM,25.43,debit,Sporting Goods,American Express Gold,,
9/01/2023,STOCKTON PMT,STOCKTON PMT,1707.67,debit,Mortgage & Rent,SoFi Savings,,
9/01/2023,THE CORNERSTONE,THE CORNERSTONE,435.8,debit,HOA,SoFi Savings,,
8/31/2023,Interest earned,Interest earned,74.99,credit,Interest Income,SoFi Savings,,
8/31/2023,AMAZONCOM MR,AMAZONCOM MR,1.01,debit,Shopping,American Express Gold,,
8/31/2023,Mobile Check Deposit,Mobile Check Deposit,6614.09,credit,Transfer,SoFi Savings,,
8/31/2023,AMAZONCOM,AMAZONCOM,32.77,debit,Shopping,Amazon Business Prime,,
8/31/2023,AMAZONCOM,AMAZONCOM,2.6,debit,Shopping,Amazon Business Prime,,
8/30/2023,Pending Advisory Fee,Pending Advisory Fee,4.26,debit,Trade Commissions,General Investing,,
8/30/2023,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,150.32,debit,Mobile Phone,American Express Gold,,
8/30/2023,PUBLIX,PUBLIX,65.33,debit,Groceries,American Express Gold,,
8/30/2023,AMAZONCOM,AMAZONCOM,38.84,debit,Shopping,Amazon Business Prime,,
8/29/2023,AMAZONCOM,AMAZONCOM,14.28,debit,Shopping,Amazon Business Prime,,
8/29/2023,AT T UVERSE PAYMENT,AT T UVERSE PAYMENT,150.32,debit,Internet,American Express Gold,,
8/28/2023,EBAY,EBAY,25.04,debit,Sporting Goods,Amex Blue Cash Everyday,,
8/28/2023,TEMU.COM,TEMU.COM,1.75,debit,Shopping,American Express Gold,,
8/27/2023,TEMU.COM,TEMU.COM,26.11,debit,Shopping,American Express Gold,,
8/27/2023,UBER EATS,UBER EATS,30.71,debit,Restaurants,American Express Gold,,
8/26/2023,(513) 578-9028,(513) 578-9028,1.0,debit,Transfer,SoFi Checking,,
8/26/2023,Nikhil Katti,Nikhil Katti,1.0,debit,Transfer,SoFi Checking,,
8/25/2023,SP US TENWAYS,SP US TENWAYS,1599.0,debit,Sporting Goods,Discover,,
8/03/2023,Michelle Taylor Paid Nikhil Katti,Michelle Taylor Paid Nikhil Katti,39.87,credit,Income,Venmo,,
8/02/2023,Maryanna Reed Paid Nikhil Katti,Maryanna Reed Paid Nikhil Katti,53.0,credit,Income,Venmo,,
8/02/2023,"Jonathan - $8.45 after deducting Ubers and MJQ ticket 

Raquel - $29.88","Jonathan - $8.45 after deducting Ubers and MJQ ticket 

Raquel - $29.88",38.33,credit,Ride Share,Venmo,,
8/01/2023,THE CORNERSTONE,THE CORNERSTONE,437.44,debit,Restaurants,SoFi Savings,,
8/01/2023,STOCKTON PMT,STOCKTON PMT,1607.67,debit,Mortgage & Rent,SoFi Savings,,
7/31/2023,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,150.32,debit,Mobile Phone,American Express Gold,,
7/17/2023,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,81.61,debit,Parents,Amazon Business Prime,,
7/09/2023,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,29.89,debit,Shopping,American Express Gold,,
7/08/2023,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,22.64,debit,Shopping,American Express Gold,,
7/03/2023,STOCKTON PMT,STOCKTON PMT,1607.67,debit,Mortgage & Rent,SoFi Savings,,
7/03/2023,THE CORNERSTONE,THE CORNERSTONE,504.19,debit,HOA,SoFi Savings,,
6/29/2023,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,150.35,debit,Mobile Phone,American Express Gold,,
6/01/2023,STOCKTON PMT,STOCKTON PMT,1607.67,debit,Mortgage & Rent,SoFi Savings,,
5/30/2023,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,150.35,debit,Mobile Phone,American Express Gold,,
