Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-12-08,REMOVAL OF CREDIT BALANCE,REMOVAL OF CREDIT BALANCE,3.46,debit,Credit Card Payment,Amazon Business Prime,,
2023-11-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-11-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,49.0,debit,Gym,Amazon Business Prime,,
2023-10-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,11.05,debit,Groceries,Amazon Business Prime,,
2023-10-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,4.07,debit,Personal Care,Amazon Business Prime,,
2023-10-30,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,13.67,debit,Hair,Amazon Business Prime,,
2023-10-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,19.41,debit,Groceries,Amazon Business Prime,,
2023-10-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,5.79,debit,Groceries,Amazon Business Prime,,
2023-10-28,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,14.28,debit,Groceries,Amazon Business Prime,,
2023-10-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-10-13,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,25.91,debit,Electronics & Software,Amazon Business Prime,,
2023-10-01,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,15.37,debit,Groceries,Amazon Business Prime,,
2023-09-21,LA FITNESS CORP INTLIRVINE CA,LA FITNESS CORP INTLIRVINE CA,29.99,debit,Gym,Amazon Business Prime,,
2023-09-04,WALMART.COM XXXX6665BENTONVILLE AR,WALMART.COM XXXX6665BENTONVILLE AR,358.28,credit,Electronics & Software,Amazon Business Prime,,
2023-08-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,32.77,debit,Pet Food & Supplies,Amazon Business Prime,,
2023-08-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,38.84,debit,Pet Food & Supplies,Amazon Business Prime,,
2023-08-31,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,2.6,debit,Home Supplies,Amazon Business Prime,,
