Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-23,AMAZONCOM,AMAZONCOM,19.15,debit,Shopping,American Express Gold,,
2023-12-23,AMAZON MARKEPLACE NA PA,AMAZON MARKEPLACE NA PA,19.0,debit,Shopping,American Express Gold,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-22,UBER,UBER,10.91,debit,Ride Share,American Express Gold,,
2023-12-22,DARK HORSE TAVERN,DARK HORSE TAVERN,18.81,debit,Restaurants,American Express Gold,,
2023-12-22,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,16.32,debit,Shopping,American Express Gold,,
2023-12-22,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,18.28,debit,Shopping,American Express Gold,,
2023-12-22,GRUBHUB*ATWOODSPIZZANEW YORK NY,GRUBHUB*ATWOODSPIZZANEW YORK NY,16.32,debit,Food Delivery,American Express Gold,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-22,AMAZONCOM,AMAZONCOM,11.04,debit,Shopping,American Express Gold,,
2023-12-22,LADYBIRD GROVE MESS HALL,LADYBIRD GROVE MESS HALL,14.43,debit,Restaurants,American Express Gold,,
2023-12-19,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,19.35,debit,Groceries,American Express Gold,,
2023-12-17,NEIGHBORS XXXXX0001 ATLANTA GA,NEIGHBORS XXXXX0001 ATLANTA GA,7.53,debit,Alcohol & Bars,American Express Gold,,
2023-12-17,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,9.95,debit,Ride Share,American Express Gold,,
2023-12-17,NEIGHBORS XXXXX0001 ATLANTA GA,NEIGHBORS XXXXX0001 ATLANTA GA,21.69,debit,Alcohol & Bars,American Express Gold,,
2023-12-15,AplPay PERC ATLANTA Atlanta GA,AplPay PERC ATLANTA Atlanta GA,9.71,debit,Coffee Shops,American Express Gold,,
2023-12-14,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,23.42,debit,Groceries,American Express Gold,,
2023-12-14,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,26.9,debit,Hair,American Express Gold,,
2023-12-13,Amex Send: Add Money,Amex Send: Add Money,31.0,debit,Parents,American Express Gold,,
2023-12-13,Amex Send Offer Credit,Amex Send Offer Credit,10.0,credit,Statement Credits,American Express Gold,,
2023-12-09,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,95.86,debit,Groceries,American Express Gold,,
2023-12-07,UBER EATS help.uber.com CA,UBER EATS help.uber.com CA,4.16,debit,Restaurants,American Express Gold,,
2023-12-04,AplPay BOLT OPERATIOTALLINN ES,AplPay BOLT OPERATIOTALLINN ES,16.8,debit,Travel,American Express Gold,,
2023-12-02,RENFE CERCANIAS TNA MALAGA ES,RENFE CERCANIAS TNA MALAGA ES,1.97,debit,Travel,American Express Gold,,
2023-11-30,AplPay ZETTLE *SYRA BARCELONA ES,AplPay ZETTLE *SYRA BARCELONA ES,3.08,debit,Travel,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,26.82,debit,Gift,American Express Gold,,
2023-11-30,MARTA TVM XX0018ATLANTA GA,MARTA TVM XX0018ATLANTA GA,5.0,debit,Travel,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,36.8,debit,Pet Food & Supplies,American Express Gold,,
2023-11-30,FIVE GUYS GA 1277 ECATLANTA GA,FIVE GUYS GA 1277 ECATLANTA GA,9.46,debit,Fast Food,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,3.38,debit,Groceries,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,2.58,debit,Groceries,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,21.39,debit,Groceries,American Express Gold,,
2023-11-30,RENFE CERCANIAS TNA MALAGA ES,RENFE CERCANIAS TNA MALAGA ES,2.53,debit,Travel,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,6.73,debit,Groceries,American Express Gold,,
2023-11-30,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,8.55,debit,Home Supplies,American Express Gold,,
2023-11-28,AplPay PUBLIX #1061 ATLANTA GA,AplPay PUBLIX #1061 ATLANTA GA,32.34,debit,Groceries,American Express Gold,,
2023-11-28,AMEX Dining Credit,AMEX Dining Credit,10.0,credit,Statement Credits,American Express Gold,,
2023-11-27,AplPay WWW.GETNOMAD.SANTA CLARA CA,AplPay WWW.GETNOMAD.SANTA CLARA CA,10.0,debit,Groceries,American Express Gold,,
2023-11-26,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,7.71,debit,Alcohol & Bars,American Express Gold,,
2023-11-26,MJQ CONCOURSE Atlanta GA,MJQ CONCOURSE Atlanta GA,7.71,debit,Alcohol & Bars,American Express Gold,,
2023-11-26,TST* THE WICKED WOLFATLANTA GA,TST* THE WICKED WOLFATLANTA GA,13.69,debit,Alcohol & Bars,American Express Gold,,
2023-11-26,TST* THE WICKED WOLFATLANTA GA,TST* THE WICKED WOLFATLANTA GA,72.32,debit,Alcohol & Bars,American Express Gold,,
2023-11-26,TST* THE WICKED WOLFATLANTA GA,TST* THE WICKED WOLFATLANTA GA,22.77,debit,Alcohol & Bars,American Express Gold,,
2023-11-24,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,1158.6,credit,Credit Card Payment,American Express Gold,,
2023-11-23,GOOGLE SERVICES MOUNTAIN VIEW,GOOGLE SERVICES MOUNTAIN VIEW,9.0,credit,Statement Credits,American Express Gold,,
2023-11-23,GOOGLE SERVICES MOUNTAIN VIEW,GOOGLE SERVICES MOUNTAIN VIEW,20.0,credit,Statement Credits,American Express Gold,,
2023-11-23,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,43.55,debit,Gift,American Express Gold,,
2023-11-21,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,GOOGLE *YOUTUBE TV G.CO/HELPPAY# CA,90.9,debit,Television,American Express Gold,,
