Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-11-30,TRP RETIRE 2060 F,TRP RETIRE 2060 F,845.0,credit,Investments,BLOCK 401(K) PLAN,,
2023-11-15,TRP RETIRE 2060 F,TRP RETIRE 2060 F,888.73,credit,Investments,BLOCK 401(K) PLAN,,
2023-10-31,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,,
2023-10-13,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,,
2023-09-29,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,,
2023-09-15,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,,
2023-09-14,TRP RETIRE 2060 F,TRP RETIRE 2060 F,0.76,credit,Investments,BLOCK 401(K) PLAN,,
2023-09-14,TRP RETIRE 2060 F,TRP RETIRE 2060 F,0.04,debit,Investments,BLOCK 401(K) PLAN,,
2023-08-31,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,401k,
2023-08-18,TRP RETIRE 2060 F,TRP RETIRE 2060 F,0.83,credit,Investments,BLOCK 401(K) PLAN,401k,
2023-08-18,TRP RETIRE 2060 F,TRP RETIRE 2060 F,0.2,debit,Investments,BLOCK 401(K) PLAN,401k,
2023-08-15,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1267.5,credit,Investments,BLOCK 401(K) PLAN,401k,
2023-08-07,TRP RETIRE 2060 F,TRP RETIRE 2060 F,3995.1,credit,Investments,BLOCK 401(K) PLAN,401k,
2023-07-31,TRP RETIRE 2060 F,TRP RETIRE 2060 F,1268.72,credit,Investments,BLOCK 401(K) PLAN,401k,
