Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-18,NOVA TEA,NOVA TEA,132.0,debit,Kratom,Chase Freedom Unlimited,,
2023-11-23,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,404.28,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-10-23,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,247.15,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-10-16,INTUIT *TURBOTAX,INTUIT *TURBOTAX,25.0,debit,Taxes,Chase Freedom Unlimited,,
2023-10-06,LEMONADE I* LEMONADE I,LEMONADE I* LEMONADE I,76.74,credit,Parents,Chase Freedom Unlimited,,
2023-10-04,DENTALESTHETICS,DENTALESTHETICS,117.5,debit,Dentist,Chase Freedom Unlimited,,
2023-10-03,PRIZEPICKS,PRIZEPICKS,100.0,debit,Sports Betting,Chase Freedom Unlimited,,
2023-10-02,PAYPAL *UBER EATS,PAYPAL *UBER EATS,0.89,debit,Food Delivery,Chase Freedom Unlimited,,
2023-09-27,DTE BOTANICALS,DTE BOTANICALS,160.89,debit,Kratom,Chase Freedom Unlimited,,
2023-09-24,FOREIGN TRANSACTION FEE,FOREIGN TRANSACTION FEE,0.28,debit,Entertainment,Chase Freedom Unlimited,,
2023-09-24,SLEEPER,SLEEPER,20.0,debit,Sports Betting,Chase Freedom Unlimited,,
2023-09-24,REAL DEBRID,REAL DEBRID,9.61,debit,Entertainment,Chase Freedom Unlimited,,
2023-09-22,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,111.83,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-09-11,SLEEPER,SLEEPER,30.0,debit,Sports Betting,Chase Freedom Unlimited,,
2023-09-06,NOVA TEA,NOVA TEA,132.0,debit,Kratom,Chase Freedom Unlimited,,
2023-09-06,NOVA TEA,NOVA TEA,132.0,debit,Kratom,Chase Freedom Unlimited,,
2023-08-23,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,78.07,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-08-13,PAYPAL *UBER EATS,PAYPAL *UBER EATS,18.83,debit,Food Delivery,Chase Freedom Unlimited,,
2023-08-03,LEMONADE I* LEMONADE I,LEMONADE I* LEMONADE I,93.0,debit,Parents,Chase Freedom Unlimited,,
2023-07-23,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,94.83,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-07-06,KROGER 346,KROGER 346,78.07,debit,Groceries,Chase Freedom Unlimited,,
2023-06-23,AUTOMATIC PAYMENT - THANK,AUTOMATIC PAYMENT - THANK,57.33,credit,Credit Card Payment,Chase Freedom Unlimited,,
2023-06-22,eBay O*XX-XXXXX-X1066,eBay O*XX-XXXXX-X1066,50.48,debit,Shopping,Chase Freedom Unlimited,,
2023-06-18,HELLOFRESH,HELLOFRESH,44.35,debit,Food & Dining,Chase Freedom Unlimited,,
