Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-19,External Transfer Withdrawal 298cfc71158c0b5,External Transfer Withdrawal 298cfc71158c0b5,2500.0,debit,Transfer,Checking - 7290,,
2023-12-18,External Transfer Withdrawal 12/18 44deXXXXXX6959f,External Transfer Withdrawal 44deXXXXXX6959f,2500.0,debit,Transfer,Checking - 7290,,
2023-12-14,Analysis Service Charge,Analysis Service Charge,1.0,debit,Bank Fee,Checking - 7290,,
2023-12-13,Debit Purchase -visa Fsi*gapower Loc866-702-1864ga 12/11 Card 1883,Debit Purchase -visa Fsi*gapower Loc866-702-1864ga 12/11 Card 1883,79.16,debit,Electricity,Checking - 7290,,
2023-11-28,External Transfer Withdrawal C68b1c35914c005,External Transfer Withdrawal C68b1c35914c005,2500.0,debit,Transfer,Checking - 7290,,
2023-11-28,External Transfer Withdrawal C68b1c35914c005,External Transfer Withdrawal C68b1c35914c005,2500.0,debit,Transfer,Checking - 7290,,
2023-11-10,Electronic Deposit Coinbase Inc.,Electronic Deposit Coinbase Inc.,39.53,credit,Sell,Checking - 7290,,
2023-11-01,Digital Ach Payment 123fa3bd089cc73nikhil Katti,Digital Ach Payment 123fa3bd089cc73nikhil Katti,5000.0,debit,Transfer,Checking - 7290,,
2023-11-01,External Transfer Withdrawal 88014081697d10a,External Transfer Withdrawal 88014081697d10a,2500.0,debit,Transfer,Checking - 7290,,
2023-10-31,External Transfer Withdrawal D9b8201b87985c6,External Transfer Withdrawal D9b8201b87985c6,2500.0,debit,Transfer,Checking - 7290,,
2023-10-11,Adjusted Interest,Adjusted Interest,750.0,credit,Interest Income,Checking - 7290,,
2023-09-20,Aa&b Refunded Fees,Aa&b Refunded Fees,6.0,credit,Transfer,Checking - 7290,,
2023-09-15,Analysis Service Charge,Analysis Service Charge,6.0,debit,Transfer,Checking - 7290,,
2023-09-05,Debit Purchase -visa Card 1883cash App*ryan St8774174551 Ca,Debit Purchase -visa Card 1883cash App*ryan St8774174551 Ca,129.36,debit,Kratom,Checking - 7290,,
2023-07-24,Electronic Deposit Sofi Bank,Electronic Deposit Sofi Bank,7000.0,credit,Income,Checking - 7290,,
2023-07-24,Electronic Deposit Sofi Bank,Electronic Deposit Sofi Bank,9000.0,credit,Income,Checking - 7290,,
2023-07-17,Funding Deposit 0000,Funding Deposit 0000,3000.0,credit,Transfer,Checking - 7290,,
