Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-10-18,DIRECTPAY FULL BALANCE,"DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",1599.0,credit,Credit Card Payment,Discover,,
2023-09-18,DIRECTPAY FULL BALANCE,"DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",278.86,credit,Credit Card Payment,Discover,,
2023-08-25,"SP US TENWAYS 8885371899 CA
APPLE PAY ENDING IN 1192","SP US TENWAYS 8885371899 CA
APPLE PAY ENDING IN 1192",1599.0,debit,Sporting Goods,Discover,,
2023-08-24,AUTOMATIC STATEMENT CREDIT,AUTOMATIC STATEMENT CREDIT,15.03,credit,Statement Credits,Discover,,
2023-08-18,"DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW","DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",93.68,credit,Credit Card Payment,Discover,,
2023-08-10,"SEPHORA.COM 877-SEPHORA CA
APPLE PAY ENDING IN 1192
63396088703","SEPHORA.COM 877-SEPHORA CA
APPLE PAY ENDING IN 1192
63396088703",16.22,debit,Personal Care,Discover,,
2023-08-07,"PUBLIX #1061 ATLANTA GA
APPLE PAY ENDING IN 1192","PUBLIX #1061 ATLANTA GA
APPLE PAY ENDING IN 1192",61.6,debit,Groceries,Discover,,
2023-07-30,"UBER TRIP 866-576-1039 CA
APPLE PAY ENDING IN 1192","UBER TRIP 866-576-1039 CA
APPLE PAY ENDING IN 1192",18.61,debit,Ride Share,Discover,,
2023-07-30,"TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM","TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM",8.35,credit,Shopping,Discover,,
2023-07-24,AUTOMATIC STATEMENT CREDIT,AUTOMATIC STATEMENT CREDIT,5.53,credit,Statement Credits,Discover,,
2023-07-23,"PUBLIX #1061 ATLANTA GA
APPLE PAY ENDING IN 1192","PUBLIX #1061 ATLANTA GA
APPLE PAY ENDING IN 1192",121.14,debit,Groceries,Discover,,
2023-07-23,"EBAY O 16-10321-55756 SAN JOSE CA
APPLE PAY ENDING IN 1192","EBAY O 16-10321-55756 SAN JOSE CA
APPLE PAY ENDING IN 1192",84.67,debit,Coffee Shops,Discover,,
2023-07-21,"UBER EATS 866-576-1039 CA
APPLE PAY ENDING IN 1192","UBER EATS 866-576-1039 CA
APPLE PAY ENDING IN 1192",9.6,debit,Restaurants,Discover,,
2023-07-19,"CHICK-FIL-A #03341 4046109965 GA
APPLE PAY ENDING IN 1192","CHICK-FIL-A #03341 4046109965 GA
APPLE PAY ENDING IN 1192",19.95,debit,Fast Food,Discover,,
2023-07-19,"TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM","TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM",22.48,debit,Shopping,Discover,,
2023-07-19,"TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM","TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM",14.13,credit,Shopping,Discover,,
2023-07-18,"DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW","DIRECTPAY FULL BALANCE
SEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",7.77,credit,Credit Card Payment,Discover,,
2023-07-17,"TRADE COFFEE CO 8882528691 MA
APPLE PAY ENDING IN 1192","TRADE COFFEE CO 8882528691 MA
APPLE PAY ENDING IN 1192",15.75,debit,Coffee Shops,Discover,,
2023-07-17,"TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM","TEMU.COM TEMU.COM MA
APPLE PAY ENDING IN 1192
TEMU.COM",21.6,debit,Shopping,Discover,,
2023-07-15,"GRUBHUBRAYSNEWYORKPIZ 877-585-1085 NY
APPLE PAY ENDING IN 1192","GRUBHUBRAYSNEWYORKPIZ 877-585-1085 NY
APPLE PAY ENDING IN 1192",23.96,debit,Restaurants,Discover,,
2023-06-24,AUTOMATIC STATEMENT CREDIT,AUTOMATIC STATEMENT CREDIT,0.41,credit,Statement Credits,Discover,,
2023-06-03,THE BC UNDERGROUND GOLDEN CO,THE BC UNDERGROUND GOLDEN CO,8.18,debit,Alcohol & Bars,Discover,,
