Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-22,Dividend Reinvestment,Dividend Reinvestment,5.16,credit,Investments,General Investing,,
2023-12-18,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-12-11,Dividend Reinvestment,Dividend Reinvestment,5.27,credit,Dividend & Cap Gains,General Investing,,
2023-12-08,Dividend Reinvestment,Dividend Reinvestment,1.41,credit,Dividend & Cap Gains,General Investing,,
2023-12-04,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-11-30,Advisory Fee,Advisory Fee,2.68,debit,Service Fee,General Investing,,
2023-11-16,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-11-14,"Portfolio Update, 80% Stocks, 20% Bonds","Portfolio Update, 80% Stocks, 20% Bonds",0.0,credit,Investments,General Investing,,
2023-11-09,Dividend Reinvestment,Dividend Reinvestment,5.58,credit,Dividend & Cap Gains,General Investing,,
2023-11-08,Dividend Reinvestment,Dividend Reinvestment,1.32,credit,Dividend & Cap Gains,General Investing,,
2023-11-02,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-10-31,Advisory Fee,Advisory Fee,2.7,debit,Service Fee,General Investing,,
2023-10-16,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-10-09,Dividend Reinvestment,Dividend Reinvestment,6.12,credit,Investments,General Investing,,
2023-10-02,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-09-29,Advisory Fee,Advisory Fee,2.54,debit,Service Fee,General Investing,,
2023-09-28,Dividend Reinvestment,Dividend Reinvestment,14.07,credit,Investments,General Investing,,
2023-09-25,Dividend Reinvestment,Dividend Reinvestment,36.54,credit,Investments,General Investing,,
2023-09-18,Recurring Deposit,Recurring Deposit,125.0,credit,Transfer,General Investing,,
2023-09-11,Dividend Reinvestment,Dividend Reinvestment,6.23,credit,Investments,General Investing,,
2023-08-31,Advisory Fee,Advisory Fee,4.26,debit,Service Fee,General Investing,,
2023-08-09,Dividend Reinvestment,Dividend Reinvestment,4.83,credit,Investments,General Investing,,
2023-08-07,Dividend Reinvestment,Dividend Reinvestment,1.25,credit,Investments,General Investing,,
2023-07-31,Advisory Fee,Advisory Fee,3.75,debit,Service Fee,General Investing,,
