Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-01,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-12-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-12-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-11-16,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-11-16,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-11-16,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-11-01,CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),CO CONTR CURRENT YR EMPLOYER CUR YR (Cash),41.67,credit,Deposit,Health Savings Account,,
2023-11-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY BLUE CHIP GROWTH FUND: CLASS K (FBGKX) (Cash),10.42,debit,Buy,Health Savings Account,,
2023-11-01,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER HSA ALLOCATION FIDELITY FREEDOM INDX 2065 INST PREM (FFIKX) (Cash),31.25,debit,Buy,Health Savings Account,,
2023-10-31,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),0.24,credit,Dividend & Cap Gains,Health Savings Account,,
