Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-07,DEPOSIT Cash in USD,DEPOSIT Cash in USD,497.87,debit,Buy,SoFi Invest,,
2023-11-16,DIVIDEND USD,DIVIDEND USD,1.22,debit,Dividend & Cap Gains,SoFi Invest,,
2023-11-10,WITHDRAWAL USD,WITHDRAWAL USD,3005.7,credit,Transfer,SoFi Invest,,
2023-11-10,DEPOSIT Cash in USD,DEPOSIT Cash in USD,3000.0,debit,Transfer,SoFi Invest,,
2023-11-10,DIVIDEND USD,DIVIDEND USD,1.06,debit,Dividend & Cap Gains,SoFi Invest,,
2023-11-10,DIVIDEND USD,DIVIDEND USD,0.16,credit,Dividend & Cap Gains,SoFi Invest,,
2023-11-08,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.01,credit,Investments,SoFi Invest,,
2023-11-08,SECURITY LENDING USD,SECURITY LENDING USD,0.01,debit,Investments,SoFi Invest,,
2023-11-08,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.01,debit,Investments,SoFi Invest,,
2023-11-01,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1.0,debit,Transfer,SoFi Invest,,
2023-10-31,DIVIDEND USD,DIVIDEND USD,1.39,debit,Dividend & Cap Gains,SoFi Invest,,
2023-10-12,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.02,credit,Investments,SoFi Invest,,
2023-10-12,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.02,debit,Investments,SoFi Invest,,
2023-10-12,SECURITY LENDING USD,SECURITY LENDING USD,0.02,debit,Investments,SoFi Invest,,
2023-10-02,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1.0,debit,Transfer,SoFi Invest,,
2023-09-26,DIVIDEND USD,DIVIDEND USD,2.29,debit,Dividend & Cap Gains,SoFi Invest,,
2023-09-14,BUY ARM,BUY ARM,999.99,credit,Buy,SoFi Invest,,
2023-09-14,DEPOSIT Cash in USD,DEPOSIT Cash in USD,995.11,debit,Transfer,SoFi Invest,,
2023-09-13,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.02,credit,Investments,SoFi Invest,,
2023-09-13,SECURITY LENDING USD,SECURITY LENDING USD,0.02,debit,Investments,SoFi Invest,,
2023-09-13,CASH MARGIN XFER USD,CASH MARGIN XFER USD,0.02,debit,Investments,SoFi Invest,,
2023-09-01,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1.0,debit,Transfer,SoFi Invest,,
2023-08-28,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1.0,debit,Transfer,SoFi Invest,,
2023-08-17,DIVIDEND USD,DIVIDEND USD,1.22,debit,Dividend & Cap Gains,SoFi Invest,,
2023-08-10,DIVIDEND USD,DIVIDEND USD,1.11,debit,Dividend & Cap Gains,SoFi Invest,,
2023-08-10,DIVIDEND USD,DIVIDEND USD,0.17,credit,Dividend & Cap Gains,SoFi Invest,,
2023-07-31,DIVIDEND USD,DIVIDEND USD,0.71,debit,Dividend & Cap Gains,SoFi Invest,,
2023-07-19,BUY AMZN,BUY AMZN,299.99,credit,Buy,SoFi Invest,,
2023-07-19,BUY QQQ,BUY QQQ,449.99,credit,Buy,SoFi Invest,,
2023-07-19,DEPOSIT Cash in USD,DEPOSIT Cash in USD,2000.0,debit,Investments,SoFi Invest,,
2023-07-19,BUY MDB,BUY MDB,749.99,credit,Buy,SoFi Invest,,
2023-07-19,BUY ASML,BUY ASML,499.99,credit,Buy,SoFi Invest,,
2023-07-17,WITHDRAWAL Cash in USD,WITHDRAWAL Cash in USD,288.32,credit,Transfer,SoFi Invest,,
2023-07-14,BUY JETS,BUY JETS,214.05,credit,Buy,SoFi Invest,,
2023-06-28,DIVIDEND USD,DIVIDEND USD,2.37,debit,Dividend & Cap Gains,SoFi Invest,,
2023-05-30,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1000.0,debit,Transfer,SoFi Invest,,
2023-05-30,BUY QQQ,BUY QQQ,499.99,credit,Buy,SoFi Invest,,
2023-05-30,BUY VTI,BUY VTI,599.99,credit,Buy,SoFi Invest,,
2023-05-30,DEPOSIT Cash in USD,DEPOSIT Cash in USD,1500.0,debit,Transfer,SoFi Invest,,
2023-05-30,BUY AAPL,BUY AAPL,899.99,credit,Buy,SoFi Invest,,
