Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-22,VANGUARD BUY,VANGUARD BUY,541.66,debit,Financial,SoFi Savings,,
2023-12-19,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-12-18,NATL FIN SVC LLC,NATL FIN SVC LLC,0.12,credit,Transfer,SoFi Savings,,
2023-12-18,NATL FIN SVC LLC,NATL FIN SVC LLC,0.32,debit,Transfer,SoFi Savings,,
2023-12-18,US BANK TRANSFER,US BANK TRANSFER,2500.0,credit,Transfer,SoFi Savings,,
2023-12-18,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-12-18,NATL FIN SVC LLC,NATL FIN SVC LLC,0.2,credit,Transfer,SoFi Savings,,
2023-12-14,"BLOCK, INC.","BLOCK, INC.",1949.41,credit,Income,SoFi Savings,,
2023-12-14,MSPBNA,MSPBNA,24.87,credit,Income,SoFi Savings,,
2023-12-13,Comcast,COMCAST,25.0,debit,Internet,SoFi Savings,,
2023-12-13,PAYPAL,PAYPAL,38.54,credit,Gift,SoFi Savings,,
2023-12-13,PAYPAL,PAYPAL,94.95,credit,Sporting Goods,SoFi Savings,,
2023-12-12,"Square, Inc.","Square, Inc.",125.0,credit,SQ Utility Credit,SoFi Savings,,
2023-12-12,"Square, Inc.","Square, Inc.",125.0,credit,SQ Utility Credit,SoFi Savings,,
2023-12-12,"Square, Inc.","Square, Inc.",125.0,credit,SQ Utility Credit,SoFi Savings,,
2023-12-12,"Square, Inc.","Square, Inc.",125.0,credit,SQ Utility Credit,SoFi Savings,,
2023-12-12,SoFi Rewards Redemption,SoFi Rewards Redemption,0.1,credit,Income,SoFi Savings,,
2023-12-11,AMEX EPAYMENT,AMEX EPAYMENT,123.5,debit,Credit Card Payment,SoFi Savings,,
2023-12-08,VANGUARD BUY,VANGUARD BUY,541.66,debit,Transfer,SoFi Savings,,
2023-12-08,SOFI SECURITIES,SOFI SECURITIES,497.87,debit,Transfer,SoFi Savings,,
2023-12-07,VENMO,VENMO,94.2,debit,Transfer,SoFi Savings,,
2023-12-07,VENMO,VENMO,193.35,debit,Transfer,SoFi Savings,,
2023-12-06,From savings balance,From savings balance,25000.0,credit,Transfer,SoFi Savings,,
2023-12-06,To Money Vault Vault,To Money Vault Vault,25000.0,debit,Transfer,SoFi Savings,,
2023-12-04,BETTERMENT SEC,BETTERMENT SEC,125.0,debit,Transfer,SoFi Savings,,
2023-12-01,STOCKTON PMT,STOCKTON PMT,22.59,debit,Home Insurance,SoFi Savings,,
2023-12-01,THE CORNERSTONE,THE CORNERSTONE,32.94,debit,Water/Sewer,SoFi Savings,,
2023-12-01,THE CORNERSTONE,THE CORNERSTONE,402.03,debit,HOA,SoFi Savings,,
2023-12-01,STOCKTON PMT,STOCKTON PMT,399.65,debit,Property Tax,SoFi Savings,,
2023-12-01,STOCKTON PMT,STOCKTON PMT,1285.43,debit,Mortgage & Rent,SoFi Savings,,
2023-11-30,VENMO,VENMO,7.5,debit,Transfer,SoFi Savings,,
2023-11-30,VENMO,VENMO,17.13,debit,Transfer,SoFi Savings,,
