Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-22,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-12-22,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Financial,Vanguard Roth IRA,,
2023-12-08,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-12-08,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-11-24,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-11-24,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-11-10,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-11-10,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-10-27,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-10-27,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-10-13,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-10-13,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-09-29,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-09-29,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-09-15,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-09-15,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,,
2023-09-01,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-09-01,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,Roth,
2023-08-18,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,Roth,
2023-08-18,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
2023-08-04,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,VANGUARD TARGET RETIREMENT 2060 INVESTOR CL - Buy,541.66,debit,Buy,Vanguard Roth IRA,Roth,
2023-08-04,CASH - Contribution,CASH - Contribution,541.66,credit,Deposit,Vanguard Roth IRA,,
