Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-12-24,Nikhil Katti Charged Tyler Hughes,Nikhil Katti Charged Tyler Hughes,24.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Raquel Strebig,Nikhil Katti Charged Raquel Strebig,21.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Anthony Lopez,Nikhil Katti Charged Anthony Lopez,21.29,credit,Income,Venmo,,
2023-12-24,Nikhil Katti Charged Jonathan Stephens,Nikhil Katti Charged Jonathan Stephens,21.29,credit,Income,Venmo,,
2023-12-24,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,50.9,debit,Transfer,Venmo,,
2023-12-23,Nikhil Katti Paid Brendon Johnson,Nikhil Katti Paid Brendon Johnson,10.0,debit,Food & Dining,Venmo,,
2023-12-13,Nikhil Katti Paid Arun Katti,Nikhil Katti Paid Arun Katti,31.0,debit,Transfer,Venmo,,
2023-12-06,Nikhil Katti Paid Nisha Katti,Nikhil Katti Paid Nisha Katti,193.35,debit,Travel,Venmo,,
2023-12-06,Nikhil Katti Paid Michael Hines,Nikhil Katti Paid Michael Hines,94.2,debit,Travel,Venmo,,
2023-11-29,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,10.08,debit,Transfer,Venmo,,
2023-11-29,Blake Hicks Paid Nikhil Katti,Blake Hicks Paid Nikhil Katti,60.9,credit,Television,Venmo,,
2023-11-29,Nikhil Katti Paid Raquel Strebig,Nikhil Katti Paid Raquel Strebig,7.5,debit,Ride Share,Venmo,,
2023-11-29,Nikhil Katti Paid Anthony Lopez,Nikhil Katti Paid Anthony Lopez,17.13,debit,Alcohol & Bars,Venmo,,
2023-11-26,Nikhil Katti Paid Anthony Lopez,Nikhil Katti Paid Anthony Lopez,17.0,debit,Alcohol & Bars,Venmo,,
2023-11-12,Nikhil Katti Charged Jonathan Stephens,Nikhil Katti Charged Jonathan Stephens,7.18,credit,Ride Share,Venmo,,
2023-11-12,Nikhil Katti Charged Anthony Lopez,Nikhil Katti Charged Anthony Lopez,2.9,credit,Ride Share,Venmo,,
2023-11-12,Nikhil Katti Paid Arun Katti,Nikhil Katti Paid Arun Katti,671.0,debit,Electronics & Software,Venmo,,
2023-10-31,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,39.8,debit,Transfer,Venmo,,
2023-10-31,Blake Hicks Paid Nikhil Katti,Blake Hicks Paid Nikhil Katti,39.8,credit,Television,Venmo,,
2023-10-27,Nisha Katti Charged Nikhil Katti,Nisha Katti Charged Nikhil Katti,135.74,debit,Hotel,Venmo,,
2023-10-05,Nikhil Katti Paid Blake Hicks,Nikhil Katti Paid Blake Hicks,20.0,debit,Entertainment,Venmo,,
2023-10-05,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,103.5,debit,Transfer,Venmo,,
2023-09-30,Michael Lehmann Paid Nikhil Katti,Michael Lehmann Paid Nikhil Katti,27.0,credit,Groceries,Venmo,,
2023-09-30,Nikhil Katti Paid Michael Lehmann,Nikhil Katti Paid Michael Lehmann,14.0,debit,Groceries,Venmo,,
2023-09-27,Nikhil Katti Paid Ky Skyles,Nikhil Katti Paid Ky Skyles,220.33,debit,Kratom,Venmo,,
2023-09-24,Connor Wolfe Paid Nikhil Katti,Connor Wolfe Paid Nikhil Katti,50.0,credit,Transfer,Venmo,,
2023-09-24,Nikhil Katti Paid Anthony Lopez,Nikhil Katti Paid Anthony Lopez,9.5,debit,Alcohol & Bars,Venmo,,
2023-09-21,John Sibley Paid Nikhil Katti,John Sibley Paid Nikhil Katti,50.0,credit,Transfer,Venmo,,
2023-09-09,Nikhil Katti Paid Blake Hicks,Nikhil Katti Paid Blake Hicks,20.0,debit,Television,Venmo,,
2023-09-05,Transfer To THE BANCORP BANK,Transfer To THE BANCORP BANK,400.0,debit,Transfer,Venmo,,
2023-09-03,Nikhil Manthena Paid Nikhil Katti,Nikhil Manthena Paid Nikhil Katti,50.0,credit,Income,Venmo,,
2023-09-03,Mousa Nabi Paid Nikhil Katti,Mousa Nabi Paid Nikhil Katti,50.0,credit,Fees & Charges,Venmo,,
2023-09-03,Blake Hicks Paid Nikhil Katti,Blake Hicks Paid Nikhil Katti,100.0,credit,Income,Venmo,,
2023-09-01,Tyler Hughes Paid Nikhil Katti,Tyler Hughes Paid Nikhil Katti,50.0,credit,Income,Venmo,,
2023-09-01,Michael Lehmann Paid Nikhil Katti,Michael Lehmann Paid Nikhil Katti,50.0,credit,Income,Venmo,,
2023-09-01,Braxton Ballard Paid Nikhil Katti,Braxton Ballard Paid Nikhil Katti,50.0,credit,Income,Venmo,,
